City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Ouallam,NE,14.3188,2.0866,83.89,60,94,10.02,overcast clouds
105,Severo-Kurilsk,RU,50.6789,156.125,61.79,89,97,4.5,overcast clouds
106,Lagoa,PT,39.05,-27.9833,69.82,90,0,9.04,clear sky
107,Kaitangata,NZ,-46.2817,169.8464,52.93,74,92,8.84,overcast clouds
108,Saint Anthony,US,45.0205,-93.218,79.25,56,90,8.05,haze
109,Mutis,CO,6.2262,-77.4044,79.23,84,100,3.42,overcast clouds
110,Carnarvon,AU,-24.8667,113.6333,62.67,68,75,9.22,broken clouds
111,Puerto Ayora,EC,-0.7393,-90.3518,71.28,89,33,7.56,scattered clouds
112,Santa Fe,AR,-31.6333,-60.7,49.01,49,0,5.88,clear sky
113,Iqaluit,CA,63.7506,-68.5145,51.53,71,75,5.75,broken clouds
114,Cabo San Lucas,MX,22.8909,-109.9124,95.5,72,20,8.01,few clouds
115,Upernavik,GL,72.7868,-56.1549,45.27,87,99,4.23,overcast clouds
116,Sipe Sipe,BO,-17.45,-66.3833,63.09,70,13,3.85,few clouds
117,Bengkulu,ID,-3.8004,102.2655,77.92,81,63,4.47,broken clouds
118,Santa Barbara,US,34.7333,-120.0343,84.34,50,1,11.5,clear sky
119,Kazerun,IR,29.6195,51.6541,86.29,17,6,2.19,clear sky
120,Kavieng,PG,-2.5744,150.7967,83.93,70,56,4.36,light rain
121,Provideniya,RU,64.3833,-173.3,51.91,76,75,15.66,broken clouds
122,Jiazi,CN,22.8779,116.067,85.59,76,100,5.93,overcast clouds
123,Elko,US,41.0002,-115.5012,82.74,23,77,5.01,broken clouds
124,Sanary-Sur-Mer,FR,43.1178,5.8001,74.88,78,0,4.45,clear sky
125,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,3.44,light rain
126,Champerico,GT,14.3,-91.9167,82.35,87,100,8.25,overcast clouds
127,Healdsburg,US,38.6105,-122.8692,104.02,42,40,3.0,scattered clouds
128,Coquimbo,CL,-29.9533,-71.3436,51.53,87,20,1.14,few clouds
129,Campbellsville,US,37.3434,-85.3419,85.6,61,74,1.01,broken clouds
130,Port Elizabeth,ZA,-33.918,25.5701,52.09,87,0,6.91,clear sky
131,Qaanaaq,GL,77.484,-69.3632,40.12,88,87,8.79,overcast clouds
132,Atuona,PF,-9.8,-139.0333,77.0,82,100,13.8,light rain
133,Muros,ES,42.7762,-9.0603,64.99,84,63,6.02,broken clouds
134,San Cristobal,VE,7.7669,-72.225,77.18,98,43,4.21,scattered clouds
135,Richards Bay,ZA,-28.783,32.0377,60.31,78,1,7.47,clear sky
136,Vestmanna,FO,62.1564,-7.1664,50.92,100,90,1.14,fog
137,Ambovombe,MG,-25.1667,46.0833,63.59,83,0,5.03,clear sky
138,Healesville,AU,-37.65,145.5167,56.89,57,0,5.01,clear sky
139,Epe,NG,6.5841,3.9834,74.12,90,16,4.23,few clouds
140,Taguatinga,BR,-12.3857,-46.5711,74.14,37,0,4.27,clear sky
141,Hannibal,US,39.7084,-91.3585,88.75,79,40,0.0,scattered clouds
