City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Iqaluit,CA,63.7506,-68.5145,51.53,71,75,5.75,broken clouds
108,Mahon,ES,39.8885,4.2658,73.96,94,0,3.44,clear sky
109,Hilo,US,19.7297,-155.09,83.93,69,75,9.22,broken clouds
110,Havelock,US,34.8791,-76.9013,82.94,86,18,5.01,few clouds
111,Taunsa,PK,30.7048,70.6505,94.62,48,59,8.66,broken clouds
112,Dunedin,NZ,-45.8742,170.5036,50.81,88,84,11.99,broken clouds
113,Krasnoarmeysk,RU,51.0239,45.6969,71.29,77,46,8.39,scattered clouds
114,Shinshiro,JP,34.9,137.5,86.59,68,23,2.35,few clouds
115,Broome,US,42.2506,-75.833,72.7,91,90,3.0,light rain
116,San Matias,BO,-16.3667,-58.4,57.63,25,6,5.14,clear sky
117,Cap Malheureux,MU,-19.9842,57.6142,69.48,76,47,5.01,light rain
118,San Quintin,MX,30.4833,-115.95,74.66,71,1,18.25,clear sky
119,Lae,PG,-6.7221,146.9847,83.07,68,65,1.97,broken clouds
120,Fomboni,KM,-12.28,43.7425,76.59,72,1,19.44,clear sky
121,Port-Gentil,GA,-0.7193,8.7815,76.53,78,21,14.07,few clouds
122,Qaanaaq,GL,77.484,-69.3632,39.61,89,98,8.99,overcast clouds
123,Norman Wells,CA,65.282,-126.8329,68.04,68,90,0.0,light rain
124,Upernavik,GL,72.7868,-56.1549,44.92,87,100,4.54,overcast clouds
125,La Ronge,CA,55.1001,-105.2842,75.45,53,75,4.61,broken clouds
126,Ascension,US,30.2169,-90.9001,87.01,74,40,0.0,scattered clouds
127,Bambous Virieux,MU,-20.3428,57.7575,69.22,83,75,25.32,light rain
128,Rio Gallegos,AR,-51.6226,-69.2181,41.05,60,0,11.5,clear sky
129,Yagodnoye,RU,62.55,149.6667,43.09,66,100,9.08,overcast clouds
130,La Romana,DO,18.4273,-68.9728,82.76,78,40,11.5,scattered clouds
131,Porterville,US,36.0652,-119.0168,103.15,24,1,10.36,clear sky
132,Hasaki,JP,35.7333,140.8333,82.8,82,19,8.66,few clouds
133,Lebu,CL,-37.6167,-73.65,49.33,82,1,6.49,clear sky
134,Takoradi,GH,4.8845,-1.7554,75.92,87,53,8.79,broken clouds
135,Wattegama,LK,6.7989,81.4808,75.78,77,61,3.71,broken clouds
136,Mont-De-Marsan,FR,44.0,-0.6667,67.82,77,90,4.61,overcast clouds
137,Chernenko,RU,44.365,39.3103,62.89,78,0,2.21,clear sky
138,Sabha,LY,27.0377,14.4283,82.26,22,0,10.2,clear sky
139,Sindor,RU,62.8629,51.8905,48.38,80,96,4.83,overcast clouds
140,Elizabeth City,US,36.2946,-76.2511,88.02,83,5,1.01,clear sky
141,Ambilobe,MG,-13.2,49.05,63.36,91,3,3.71,clear sky
