City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
47,Lazaro Cardenas,MX,83.23,scattered clouds,17.9583,-102.2,quinta antigua
49,Victor Harbor,AU,65.46,broken clouds,-35.5667,138.6167,McCracken Country Club
50,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,Casa Tia Villa
51,Norman Wells,CA,68.04,light rain,65.282,-126.8329,Heritage Hotel
52,Pavilosta,LV,66.11,light rain,56.8879,21.1859,"Hotel ""Vēju paradīze"""
53,Sibolga,ID,78.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
54,Butaritari,KI,83.8,clear sky,3.0707,172.7902,Isles Sunset Lodge
55,Porbandar,IN,81.88,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
56,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
57,Baculin,PH,86.27,few clouds,7.4525,126.5842,Shovy's Cove
58,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
59,Caravelas,BR,70.48,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
60,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
61,Lompoc,US,80.74,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
63,Sungaipenuh,ID,67.95,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
65,Puerto Asis,CO,70.83,overcast clouds,0.5133,-76.5007,Ayawaska Hostal
66,Port Hardy,CA,69.98,few clouds,50.6996,-127.4199,Airport Inn
67,Kurchum,KZ,66.69,overcast clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
68,Nikolskoye,RU,65.39,overcast clouds,59.7035,30.7861,Tourist House - Sablino
69,Thompson,CA,73.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
70,Airai,TL,72.39,clear sky,-8.9266,125.4092,Juvinal Martin
71,College,US,69.46,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
74,Kula,TR,70.07,clear sky,38.5473,28.6498,Anemon Kula Hotel
76,Grafton,US,69.15,overcast clouds,42.207,-71.6856,The Grafton Inn
77,Victoria,HK,81.97,light rain,22.2855,114.1577,Mini Hotel Central
78,Fredericksburg,US,82.2,mist,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
79,Tuktoyaktuk,CA,59.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
80,Ajaccio,FR,69.85,clear sky,42.0,8.9167,Sole E Monte
81,Oppdal,NO,56.77,overcast clouds,62.5943,9.6912,Quality Hotel Skifer
82,Antalaha,MG,67.95,light rain,-14.9003,50.2788,Hotel Vitasoa
83,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Sherghati,IN,78.42,overcast clouds,24.5667,84.7833,Birju_sang_kunti_bhaban
87,Pisco,PE,63.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
88,Itupiranga,BR,76.12,clear sky,-5.1347,-49.3267,Hotel Panorama
90,Nhulunbuy,AU,83.01,clear sky,-12.2333,136.7667,East Arnhem Real Estate
91,Lata,PT,61.81,scattered clouds,40.1629,-8.3327,Casa Maquia
92,Saskylakh,RU,80.92,few clouds,71.9167,114.0833,
94,Margate,GB,61.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
95,Maceio,BR,71.04,clear sky,-9.6658,-35.7353,Poutur Pousada
96,Zhezkazgan,KZ,63.52,clear sky,47.8043,67.7144,Hotel Zumrat
98,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Shellbrook,CA,78.03,overcast clouds,53.2168,-106.4011,Shellbrook Hotel
101,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
102,Rust,DE,65.21,clear sky,48.2667,7.7333,Hotel-Restaurant Löwen
103,Namibe,AO,63.81,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
104,Ouallam,NE,83.89,overcast clouds,14.3188,2.0866,
105,Severo-Kurilsk,RU,61.79,overcast clouds,50.6789,156.125,Kak Doma
106,Lagoa,PT,69.82,clear sky,39.05,-27.9833,Casa Das Faias
108,Saint Anthony,US,79.25,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
109,Mutis,CO,79.23,overcast clouds,6.2262,-77.4044,Paraiso Escondido
110,Carnarvon,AU,62.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
111,Puerto Ayora,EC,71.28,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
116,Sipe Sipe,BO,63.09,few clouds,-17.45,-66.3833,Cabañas Oasis Marino
117,Bengkulu,ID,77.92,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
118,Santa Barbara,US,84.34,clear sky,34.7333,-120.0343,Upper Ballard Campground
119,Kazerun,IR,86.29,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
120,Kavieng,PG,83.93,light rain,-2.5744,150.7967,Nusa Island Retreat
122,Jiazi,CN,85.59,overcast clouds,22.8779,116.067,Hotel Jin Hao
123,Elko,US,82.74,broken clouds,41.0002,-115.5012,
124,Sanary-Sur-Mer,FR,74.88,clear sky,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
126,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
129,Campbellsville,US,85.6,broken clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
132,Atuona,PF,77.0,light rain,-9.8,-139.0333,Villa Enata
133,Muros,ES,64.99,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
134,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
135,Richards Bay,ZA,60.31,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
137,Ambovombe,MG,63.59,clear sky,-25.1667,46.0833,RELAHARA
138,Healesville,AU,56.89,clear sky,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
139,Epe,NG,74.12,few clouds,6.5841,3.9834,MAGVILLE HOTEL
140,Taguatinga,BR,74.14,clear sky,-12.3857,-46.5711,
141,Hannibal,US,88.75,scattered clouds,39.7084,-91.3585,Country Hearth Inn Hannibal
142,Prince Rupert,CA,71.69,few clouds,54.3161,-130.3201,Crest Hotel
144,Petropavlovsk-Kamchatskiy,RU,63.19,light intensity shower rain,53.0452,158.6483,The Hotel Petropavlovsky
145,Mitu,CO,70.95,broken clouds,1.1983,-70.1733,
146,Hondo,JP,84.15,scattered clouds,32.45,130.2,ホテル河丁
147,Fortuna,US,66.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
148,Bonfim,BR,72.84,overcast clouds,3.0833,-59.95,
150,Aklavik,CA,67.03,overcast clouds,68.2191,-135.0107,Aklavik Inn
151,Khatanga,RU,79.97,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
152,Kaeo,NZ,64.33,broken clouds,-35.1,173.7833,Bushido Lodge
153,Marzuq,YE,78.12,overcast clouds,14.4,46.4667,
154,Solnechnyy,RU,66.02,broken clouds,50.7214,136.6319,Hotel complex Pastoral
155,Qandala,SO,87.24,broken clouds,11.472,49.8728,
156,Mahanoro,MG,67.96,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
157,Khandyga,RU,68.27,clear sky,62.6667,135.6,Apel'sin
158,Lorengau,PG,85.33,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
159,Port Blair,IN,82.54,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
160,Tortoli,IT,75.02,clear sky,39.9256,9.6572,Hotel La Bitta
164,Cabra,ES,79.9,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
166,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
167,Camacha,PT,68.76,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
168,Mandera,KE,75.78,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
170,Beihai,CN,86.72,overcast clouds,21.4833,109.1,21 Degree Hostel
171,Manicore,BR,75.15,clear sky,-5.8092,-61.3003,Hotel Durval
172,Vera Cruz,BR,71.17,clear sky,-12.6333,-41.0333,
173,Bone,DE,60.71,broken clouds,51.9669,12.1396,Sporthotel Wallwitz
174,Kudahuvadhoo,MV,81.64,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
175,Lahaina,US,87.8,light intensity drizzle,20.8783,-156.6825,Lahaina Shores Beach Resort
176,Shemonaikha,KZ,61.2,overcast clouds,50.6328,81.9056,Perekrestok
177,Japura,ID,78.17,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
181,Seydi,TM,77.49,clear sky,39.4816,62.9137,Seydi oteli
182,Ronne,DK,64.31,broken clouds,55.1009,14.7066,Griffen Spahotel
183,Asau,RO,68.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
184,Yulara,AU,64.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
185,Riviere-Au-Renard,CA,64.4,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
186,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
188,Thio,NC,78.76,clear sky,-21.6167,166.2167,La Ferme de Thio
190,Naranjal,EC,75.52,overcast clouds,-2.6667,-79.6167,Media Naranja
191,Cockburn Town,TC,82.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
192,Bonavista,CA,63.12,clear sky,48.6499,-53.1147,Abbott's Bed & Breakfast
193,Taltal,CL,61.29,clear sky,-25.4,-70.4833,Residencial Karime
194,Harper,LR,75.97,overcast clouds,4.375,-7.7169,Screensaver
